respondent_id,profile_id,rating
0,"Marka: Marka własna supermarketu
Zawartość cukru: Zero cukru
Opakowanie: Puszka aluminiowa
Smak: Owocowy  ",1
1,"Marka: Marka własna supermarketu
Zawartość cukru: Zero cukru
Opakowanie: Puszka aluminiowa
Smak: Owocowy  ",2
2,"Marka: Marka własna supermarketu
Zawartość cukru: Zero cukru
Opakowanie: Puszka aluminiowa
Smak: Owocowy  ",1
3,"Marka: Marka własna supermarketu
Zawartość cukru: Zero cukru
Opakowanie: Puszka aluminiowa
Smak: Owocowy  ",2
4,"Marka: Marka własna supermarketu
Zawartość cukru: Zero cukru
Opakowanie: Puszka aluminiowa
Smak: Owocowy  ",1
5,"Marka: Marka własna supermarketu
Zawartość cukru: Zero cukru
Opakowanie: Puszka aluminiowa
Smak: Owocowy  ",1
6,"Marka: Marka własna supermarketu
Zawartość cukru: Zero cukru
Opakowanie: Puszka aluminiowa
Smak: Owocowy  ",1
7,"Marka: Marka własna supermarketu
Zawartość cukru: Zero cukru
Opakowanie: Puszka aluminiowa
Smak: Owocowy  ",1
8,"Marka: Marka własna supermarketu
Zawartość cukru: Zero cukru
Opakowanie: Puszka aluminiowa
Smak: Owocowy  ",1
9,"Marka: Marka własna supermarketu
Zawartość cukru: Zero cukru
Opakowanie: Puszka aluminiowa
Smak: Owocowy  ",1
10,"Marka: Marka własna supermarketu
Zawartość cukru: Zero cukru
Opakowanie: Puszka aluminiowa
Smak: Owocowy  ",1
11,"Marka: Marka własna supermarketu
Zawartość cukru: Zero cukru
Opakowanie: Puszka aluminiowa
Smak: Owocowy  ",1
12,"Marka: Marka własna supermarketu
Zawartość cukru: Zero cukru
Opakowanie: Puszka aluminiowa
Smak: Owocowy  ",1
13,"Marka: Marka własna supermarketu
Zawartość cukru: Zero cukru
Opakowanie: Puszka aluminiowa
Smak: Owocowy  ",1
14,"Marka: Marka własna supermarketu
Zawartość cukru: Zero cukru
Opakowanie: Puszka aluminiowa
Smak: Owocowy  ",1
15,"Marka: Marka własna supermarketu
Zawartość cukru: Zero cukru
Opakowanie: Puszka aluminiowa
Smak: Owocowy  ",1
