Marka,Zawartość cukru,Rodzaj opakowania,Smak
Coca-Cola,Pełnocukrowa,Plastikowa butelka,Klasyczny
Pepsi,Pełnocukrowa,Plastikowa butelka,Klasyczny
Marki rzemieślnicze,Pełnocukrowa,Plastikowa butelka,Klasyczny
Marka własna supermarketu,Pełnocukrowa,Plastikowa butelka,Klasyczny
Coca-Cola,Zero cukru,Plastikowa butelka,Klasyczny
Pepsi,Zero cukru,Plastikowa butelka,Klasyczny
Marki rzemieślnicze,Zero cukru,Plastikowa butelka,Klasyczny
Marka własna supermarketu,Zero cukru,Plastikowa butelka,Klasyczny
Coca-Cola,Pełnocukrowa,Puszka aluminiowa,Klasyczny
Pepsi,Pełnocukrowa,Puszka aluminiowa,Klasyczny
Marki rzemieślnicze,Pełnocukrowa,Puszka aluminiowa,Klasyczny
Marka własna supermarketu,Pełnocukrowa,Puszka aluminiowa,Klasyczny
Coca-Cola,Zero cukru,Puszka aluminiowa,Klasyczny
Pepsi,Zero cukru,Puszka aluminiowa,Klasyczny
Marki rzemieślnicze,Zero cukru,Puszka aluminiowa,Klasyczny
Marka własna supermarketu,Zero cukru,Puszka aluminiowa,Klasyczny
Coca-Cola,Pełnocukrowa,Szklana butelka,Klasyczny
Pepsi,Pełnocukrowa,Szklana butelka,Klasyczny
Marki rzemieślnicze,Pełnocukrowa,Szklana butelka,Klasyczny
Marka własna supermarketu,Pełnocukrowa,Szklana butelka,Klasyczny
Coca-Cola,Zero cukru,Szklana butelka,Klasyczny
Pepsi,Zero cukru,Szklana butelka,Klasyczny
Marki rzemieślnicze,Zero cukru,Szklana butelka,Klasyczny
Marka własna supermarketu,Zero cukru,Szklana butelka,Klasyczny
Coca-Cola,Pełnocukrowa,Plastikowa butelka,Wanilia
Pepsi,Pełnocukrowa,Plastikowa butelka,Wanilia
Marki rzemieślnicze,Pełnocukrowa,Plastikowa butelka,Wanilia
Marka własna supermarketu,Pełnocukrowa,Plastikowa butelka,Wanilia
Coca-Cola,Zero cukru,Plastikowa butelka,Wanilia
Pepsi,Zero cukru,Plastikowa butelka,Wanilia
Marki rzemieślnicze,Zero cukru,Plastikowa butelka,Wanilia
Marka własna supermarketu,Zero cukru,Plastikowa butelka,Wanilia
Coca-Cola,Pełnocukrowa,Puszka aluminiowa,Wanilia
Pepsi,Pełnocukrowa,Puszka aluminiowa,Wanilia
Marki rzemieślnicze,Pełnocukrowa,Puszka aluminiowa,Wanilia
Marka własna supermarketu,Pełnocukrowa,Puszka aluminiowa,Wanilia
Coca-Cola,Zero cukru,Puszka aluminiowa,Wanilia
Pepsi,Zero cukru,Puszka aluminiowa,Wanilia
Marki rzemieślnicze,Zero cukru,Puszka aluminiowa,Wanilia
Marka własna supermarketu,Zero cukru,Puszka aluminiowa,Wanilia
Coca-Cola,Pełnocukrowa,Szklana butelka,Wanilia
Pepsi,Pełnocukrowa,Szklana butelka,Wanilia
Marki rzemieślnicze,Pełnocukrowa,Szklana butelka,Wanilia
Marka własna supermarketu,Pełnocukrowa,Szklana butelka,Wanilia
Coca-Cola,Zero cukru,Szklana butelka,Wanilia
Pepsi,Zero cukru,Szklana butelka,Wanilia
Marki rzemieślnicze,Zero cukru,Szklana butelka,Wanilia
Marka własna supermarketu,Zero cukru,Szklana butelka,Wanilia
Coca-Cola,Pełnocukrowa,Plastikowa butelka,Owocowy
Pepsi,Pełnocukrowa,Plastikowa butelka,Owocowy
Marki rzemieślnicze,Pełnocukrowa,Plastikowa butelka,Owocowy
Marka własna supermarketu,Pełnocukrowa,Plastikowa butelka,Owocowy
Coca-Cola,Zero cukru,Plastikowa butelka,Owocowy
Pepsi,Zero cukru,Plastikowa butelka,Owocowy
Marki rzemieślnicze,Zero cukru,Plastikowa butelka,Owocowy
Marka własna supermarketu,Zero cukru,Plastikowa butelka,Owocowy
Coca-Cola,Pełnocukrowa,Puszka aluminiowa,Owocowy
Pepsi,Pełnocukrowa,Puszka aluminiowa,Owocowy
Marki rzemieślnicze,Pełnocukrowa,Puszka aluminiowa,Owocowy
Marka własna supermarketu,Pełnocukrowa,Puszka aluminiowa,Owocowy
Coca-Cola,Zero cukru,Puszka aluminiowa,Owocowy
Pepsi,Zero cukru,Puszka aluminiowa,Owocowy
Marki rzemieślnicze,Zero cukru,Puszka aluminiowa,Owocowy
Marka własna supermarketu,Zero cukru,Puszka aluminiowa,Owocowy
Coca-Cola,Pełnocukrowa,Szklana butelka,Owocowy
Pepsi,Pełnocukrowa,Szklana butelka,Owocowy
Marki rzemieślnicze,Pełnocukrowa,Szklana butelka,Owocowy
Marka własna supermarketu,Pełnocukrowa,Szklana butelka,Owocowy
Coca-Cola,Zero cukru,Szklana butelka,Owocowy
Pepsi,Zero cukru,Szklana butelka,Owocowy
Marki rzemieślnicze,Zero cukru,Szklana butelka,Owocowy
Marka własna supermarketu,Zero cukru,Szklana butelka,Owocowy
