respondent_id,profile_id,rating
0,1,1
1,1,2
2,1,1
3,1,2
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,5
18,1,1
19,1,7
20,1,4
21,1,5
22,1,3
23,1,5
24,1,7
25,1,1
26,1,1
27,1,1
28,1,4
29,1,4
30,1,1
31,1,4
32,1,2
33,1,4
34,1,5
35,1,1
36,1,1
37,1,3
38,1,8
39,1,1
40,1,8
41,1,3
42,1,1
43,1,3
44,1,2
45,1,2
46,1,1
47,1,2
48,1,10
49,1,2
50,1,6
51,1,6
52,1,7
53,1,1
54,1,8
55,1,4
56,1,5
57,1,7
58,1,2
59,1,1
60,1,1
61,1,7
62,1,4
63,1,1
64,1,9
65,1,4
66,1,8
67,1,8
68,1,1
69,1,1
70,1,6
71,1,2
72,1,6
73,1,7
74,1,1
75,1,3
76,1,4
77,1,3
78,1,3
79,1,6
80,1,7
81,1,2
82,1,6
83,1,4
84,1,4
85,1,2
86,1,1
87,1,1
88,1,5
89,1,3
90,1,2
91,1,1
92,1,5
93,1,2
94,1,2
95,1,6
96,1,1
97,1,3
98,1,7
99,1,2
100,1,3
0,2,4
1,2,5
2,2,5
3,2,1
4,2,1
5,2,1
6,2,2
7,2,1
8,2,1
9,2,4
10,2,2
11,2,10
12,2,8
13,2,1
14,2,1
15,2,1
16,2,1
17,2,3
18,2,1
19,2,6
20,2,4
21,2,7
22,2,1
23,2,5
24,2,8
25,2,7
26,2,1
27,2,3
28,2,1
29,2,5
30,2,5
31,2,4
32,2,1
33,2,3
34,2,1
35,2,2
36,2,1
37,2,1
38,2,1
39,2,7
40,2,5
41,2,5
42,2,1
43,2,4
44,2,8
45,2,6
46,2,1
47,2,1
48,2,10
49,2,2
50,2,7
51,2,5
52,2,4
53,2,1
54,2,1
55,2,1
56,2,2
57,2,1
58,2,2
59,2,2
60,2,1
61,2,1
62,2,8
63,2,2
64,2,1
65,2,1
66,2,2
67,2,8
68,2,3
69,2,10
70,2,1
71,2,2
72,2,5
73,2,7
74,2,8
75,2,1
76,2,2
77,2,7
78,2,10
79,2,1
80,2,10
81,2,2
82,2,7
83,2,1
84,2,1
85,2,6
86,2,3
87,2,6
88,2,3
89,2,8
90,2,9
91,2,1
92,2,2
93,2,8
94,2,4
95,2,5
96,2,10
97,2,5
98,2,4
99,2,2
100,2,2
0,3,1
1,3,3
2,3,1
3,3,8
4,3,1
5,3,1
6,3,2
7,3,10
8,3,1
9,3,1
10,3,2
11,3,1
12,3,3
13,3,1
